"authors.keyword: Descending",Count
"H. Jung",1497
"M. Costa",1496
"T. Ogawa",1496
"G. Jones",1495
"Qian Chen",1494
"Y. Lin",1494
"A. Chatterjee",1493
"Ying Sun",1493
"K. Li",1490
"T. Yamashita",1490
"Xing Zhang",1490
"Jun He",1488
"Ferdinand Bohlmann",1487
"G. A. Tolstikov",1487
"H. Mori",1486
"Ke Xu",1485
"Y. Yu",1485
"G. Schmidt",1484
"Kai Chen",1484
"Hua Chen",1483
"S. Basu",1483
"H. Iwasaki",1482
"Hiroshi Shimizu",1481
"H. Schulz",1480
"William Clegg",1480
"Hui Huang",1479
"Vinod Kumar",1478
"Xu Li",1478
"Ping Wu",1477
"Jun Huang",1476
"LOIS EMBER",1476
"C. Lin",1474
"Herbert W. Roesky",1472
"S. Sen",1472
"James A. Ibers",1469
"Tobin J. Marks",1468
"Peng Xu",1466
"Feng Zhou",1464
"Hiroshi Inoue",1463
"Yu Huang",1461
"M. G. Voronkov",1460
"Li Jiang",1459
"Peng Gao",1458
"H. Shimizu",1457
"M. Matsumoto",1456
"J. Weber",1453
"X. Zhu",1452
"Yi Sun",1451
"Li Yu",1448
"S. Jin",1447
"Qi Zhou",1446
"Lei Huang",1444
"T. Nakano",1444
"Y. Shi",1444
"Hui Zhou",1443
"Tao Yu",1442
"K. Uchida",1441
"T. Matsuda",1440
"Zheng Zhang",1440
"Jin Liu",1439
"Xiaodong Li",1439
"Y. Yamazaki",1439
"JANICE LONG",1438
"H. Yu",1437
"Na Liu",1436
"K. Ikeda",1435
"C. Yang",1434
"Liping Wang",1434
"He Huang",1431
"Rui Chen",1430
"Han Zhang",1429
"Hong Wu",1429
"Xiaodong Zhang",1429
"M. Williams",1428
"Y. Kubota",1428
"W. Xu",1426
"A. Romero",1425
"Hiroyuki Tanaka",1425
"J. He",1425
"Y. Mori",1425
"Ye Tian",1425
"Bo Zhou",1422
"Tao Huang",1422
"H. Zhao",1421
"Lin Lin",1421
"G. Denk",1420
"S.H. Kim",1420
"Paul Knochel",1418
"Zhen Yang",1416
"H. Meyer",1415
"Y. Cao",1415
"H. Kimura",1414
"P. Smith",1413
"Zhe Zhang",1413
"Huan Liu",1412
"Jin Xu",1411
"Lei Yu",1411
"Long Chen",1409
"S. Chatterjee",1409
"H. Inoue",1407
"Juan Liu",1407
"D. Robinson",1404
"Wen Wang",1404
"N. Takahashi",1401
"Robert West",1401
"Francesco Montorsi",1400
"J. Cohen",1400
"Peter B. Hitchcock",1400
"B. Zhou",1399
"S. Patel",1399
"T. Okada",1399
"Y. Matsumoto",1397
"Feng Yang",1396
"Lin Ma",1394
"Peng Zhao",1392
"Wei Han",1392
"Hong Xu",1390
"C. Xu",1389
"Fan Wang",1388
"Jing Guo",1388
"P. Fischer",1388
"N. Suzuki",1387
"MARC REISCH",1386
"M. Schmitt",1384
"R. Richter",1384
"Z. Wu",1384
"G. Müller",1383
"Feng Zhao",1382
"Kun Yang",1382
"T. Liu",1382
"Yoshinori Yamamoto",1382
"J. Thompson",1381
"Jian Zhao",1381
"T. Nakajima",1381
"Wei Tang",1380
"Bohn Stafleu van Loghum",1379
"C. Jones",1379
"Tao Sun",1379
"Cheng Chen",1378
"Haiyan Wang",1378
"Jian Lu",1378
"Yan Gao",1378
"Shuo Wang",1377
"Jun Shen",1375
"Xia Zhang",1374
"Hao Xu",1373
"K. Takeda",1373
"S. Choi",1371
"Xia Wang",1371
"B. Lee",1370
"Lu Li",1370
"S. Sasaki",1370
"A. Müller",1369
"Liang Xu",1369
"M. Kimura",1369
"G. Hughes",1368
"R. White",1368
"Wei Feng",1368
"Wei Lin",1368
"K. Liu",1367
"Kai Yang",1366
"Lester Andrews",1366
"Allan H. White",1365
"D. Johnson",1365
"J. Williams",1365
"Jianhua Zhang",1365
"G. Weber",1364
"S. Matsumoto",1364
"Yun Chen",1364
"A. Das",1363
"Ping Lu",1363
"Helen Meyer",1362
"Stephen J. Lippard",1362
"Y Zhang",1362
"Yan Lu",1361
"K. N. Houk",1360
"C. Meyer",1357
"RON DAGANI",1357
"Akira Hasegawa",1356
"George Holcomb",1356
"Jie Huang",1356
"B. Chen",1355
"Xu Chen",1355
